areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E92000001,England,nation,2021-07-01,60_64,395,2120,68.1
E92000001,England,nation,2021-07-01,65_69,211,1171,41.9
E92000001,England,nation,2021-07-01,70_74,161,911,32.8
E92000001,England,nation,2021-07-01,75_79,105,610,31.4
E92000001,England,nation,2021-07-01,80_84,66,384,26.7
E92000001,England,nation,2021-07-01,85_89,48,207,23.5
E92000001,England,nation,2021-07-01,90+,21,134,25.9
E92000001,England,nation,2021-07-01,unassigned,14,58,
E92000001,England,nation,2021-06-30,00_04,457,2502,75.8
E92000001,England,nation,2021-06-30,00_59,22420,121067,282.7
E92000001,England,nation,2021-06-30,05_09,1421,7630,215.6
E92000001,England,nation,2021-06-30,10_14,2453,13857,413.1
E92000001,England,nation,2021-06-30,15_19,3191,17630,570.5
E92000001,England,nation,2021-06-30,20_24,4483,25553,732.6
E92000001,England,nation,2021-06-30,25_29,2767,14241,374.6
E92000001,England,nation,2021-06-30,30_34,1902,9761,256.3
E92000001,England,nation,2021-06-30,35_39,1630,8162,218.6
E92000001,England,nation,2021-06-30,40_44,1458,7337,214.9
E92000001,England,nation,2021-06-30,45_49,1192,6182,166.4
E92000001,England,nation,2021-06-30,50_54,847,4786,122.5
E92000001,England,nation,2021-06-30,55_59,619,3426,93.3
E92000001,England,nation,2021-06-30,60+,932,5098,37.9
E92000001,England,nation,2021-06-30,60_64,362,1946,62.5
E92000001,England,nation,2021-06-30,65_69,204,1080,38.6
E92000001,England,nation,2021-06-30,70_74,151,841,30.3
E92000001,England,nation,2021-06-30,75_79,91,563,29.0
E92000001,England,nation,2021-06-30,80_84,67,362,25.1
E92000001,England,nation,2021-06-30,85_89,27,179,20.3
E92000001,England,nation,2021-06-30,90+,30,127,24.6
E92000001,England,nation,2021-06-30,unassigned,11,56,
E92000001,England,nation,2021-06-29,00_04,462,2360,71.5
E92000001,England,nation,2021-06-29,00_59,21682,112505,262.7
E92000001,England,nation,2021-06-29,05_09,1362,6996,197.7
E92000001,England,nation,2021-06-29,10_14,2464,12888,384.2
E92000001,England,nation,2021-06-29,15_19,3129,16471,533.0
E92000001,England,nation,2021-06-29,20_24,4586,24099,690.9
