areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E92000001,England,nation,2021-11-04,50_54,1894,15522,400.5
E92000001,England,nation,2021-11-04,55_59,1714,12514,332.7
E92000001,England,nation,2021-11-04,60+,3672,29012,212.4
E92000001,England,nation,2021-11-04,60_64,1321,9868,308.7
E92000001,England,nation,2021-11-04,65_69,979,7428,266.8
E92000001,England,nation,2021-11-04,70_74,720,5895,209.5
E92000001,England,nation,2021-11-04,75_79,335,3036,151.0
E92000001,England,nation,2021-11-04,80_84,140,1328,91.6
E92000001,England,nation,2021-11-04,85_89,107,837,94.5
E92000001,England,nation,2021-11-04,90+,70,620,119.0
E92000001,England,nation,2021-11-04,unassigned,14,65,
E92000001,England,nation,2021-11-03,00_04,700,5342,164.9
E92000001,England,nation,2021-11-03,00_59,24463,189337,441.5
E92000001,England,nation,2021-11-03,05_09,2314,19211,542.8
E92000001,England,nation,2021-11-03,10_14,3221,30266,881.0
E92000001,England,nation,2021-11-03,15_19,2087,15844,508.5
E92000001,England,nation,2021-11-03,20_24,1166,7580,218.3
E92000001,England,nation,2021-11-03,25_29,1609,10710,284.0
E92000001,England,nation,2021-11-03,30_34,2027,14004,366.2
E92000001,England,nation,2021-11-03,35_39,2331,17177,459.5
E92000001,England,nation,2021-11-03,40_44,2713,21360,614.4
E92000001,England,nation,2021-11-03,45_49,2384,18662,512.9
E92000001,England,nation,2021-11-03,50_54,2137,16258,419.5
E92000001,England,nation,2021-11-03,55_59,1774,12923,343.5
E92000001,England,nation,2021-11-03,60+,3935,30107,220.4
E92000001,England,nation,2021-11-03,60_64,1391,10144,317.3
E92000001,England,nation,2021-11-03,65_69,969,7613,273.4
E92000001,England,nation,2021-11-03,70_74,775,6101,216.8
E92000001,England,nation,2021-11-03,75_79,413,3252,161.8
E92000001,England,nation,2021-11-03,80_84,179,1434,99.0
E92000001,England,nation,2021-11-03,85_89,117,907,102.4
E92000001,England,nation,2021-11-03,90+,91,656,125.9
E92000001,England,nation,2021-11-03,unassigned,10,68,
E92000001,England,nation,2021-11-02,00_04,808,5331,164.6
E92000001,England,nation,2021-11-02,00_59,26285,195813,456.6
E92000001,England,nation,2021-11-02,05_09,2741,19772,558.6
E92000001,England,nation,2021-11-02,10_14,3890,32521,946.6
E92000001,England,nation,2021-11-02,15_19,2254,16339,524.4
E92000001,England,nation,2021-11-02,20_24,1173,7609,219.1
E92000001,England,nation,2021-11-02,25_29,1677,10784,285.9
E92000001,England,nation,2021-11-02,30_34,2094,14208,371.5
E92000001,England,nation,2021-11-02,35_39,2466,17555,469.6
E92000001,England,nation,2021-11-02,40_44,2872,22143,637.0
E92000001,England,nation,2021-11-02,45_49,2379,19489,535.6
E92000001,England,nation,2021-11-02,50_54,2143,16789,433.2
E92000001,England,nation,2021-11-02,55_59,1788,13273,352.8
E92000001,England,nation,2021-11-02,60+,4100,30958,226.6
E92000001,England,nation,2021-11-02,60_64,1339,10315,322.7
E92000001,England,nation,2021-11-02,65_69,1103,7819,280.8
E92000001,England,nation,2021-11-02,70_74,838,6292,223.6
E92000001,England,nation,2021-11-02,75_79,430,3378,168.1
E92000001,England,nation,2021-11-02,80_84,190,1520,104.9
E92000001,England,nation,2021-11-02,85_89,106,954,107.8
E92000001,England,nation,2021-11-02,90+,94,680,130.5
E92000001,England,nation,2021-11-02,unassigned,6,71,
E92000001,England,nation,2021-11-01,00_04,947,5251,162.1
E92000001,England,nation,2021-11-01,00_59,31746,199502,465.2
E92000001,England,nation,2021-11-01,05_09,3473,19796,559.3
E92000001,England,nation,2021-11-01,10_14,5376,34286,998.0
E92000001,England,nation,2021-11-01,15_19,2721,16735,537.1
E92000001,England,nation,2021-11-01,20_24,1288,7575,218.1
E92000001,England,nation,2021-11-01,25_29,1808,10742,284.8
E92000001,England,nation,2021-11-01,30_34,2346,14287,373.6
E92000001,England,nation,2021-11-01,35_39,2798,17587,470.5
E92000001,England,nation,2021-11-01,40_44,3409,22499,647.2
E92000001,England,nation,2021-11-01,45_49,2897,20000,549.7
E92000001,England,nation,2021-11-01,50_54,2577,17195,443.7
E92000001,England,nation,2021-11-01,55_59,2106,13549,360.2
E92000001,England,nation,2021-11-01,60+,4951,31406,229.9
E92000001,England,nation,2021-11-01,60_64,1699,10459,327.2
E92000001,England,nation,2021-11-01,65_69,1210,7846,281.8
E92000001,England,nation,2021-11-01,70_74,984,6352,225.7
E92000001,England,nation,2021-11-01,75_79,523,3467,172.5
E92000001,England,nation,2021-11-01,80_84,238,1570,108.3
E92000001,England,nation,2021-11-01,85_89,166,1000,113.0
E92000001,England,nation,2021-11-01,90+,131,712,136.6
